0	0	0	10	76.1
1	128	0	10	71.7
2	128	0	10	70.8
3	128	0	10	72.1
4	128	0	10	75.1
5	128	0	10	75
6	0	0	10	79.1
7	0	0	10	67.3
8	0	0	10	73.4
9	0	0	10	74.5
10	0	0	10	69.3
11	256	0	20	75.9
12	256	0	20	74.1
13	256	0	20	73.1
14	256	0	20	75.2
15	256	0	20	75.2
16	0	0	10	72.4
17	0	0	10	71.3
18	0	0	10	66.5
19	0	0	10	74.7
20	0	0	10	67.3
21	512	0	20	77.5
22	512	0	20	67.2
23	512	0	20	74.9
24	512	0	20	65.9
25	512	0	20	67.9
26	0	0	10	73.3
27	0	0	10	68.3
28	0	0	10	74.6
29	0	0	10	70.4
30	0	0	10	75
31	1024	0	20	67.3
32	1024	0	20	73.9
33	1024	0	20	70.3
34	1024	0	20	71.3
35	1024	0	20	70.7
36	0	0	10	69
37	0	0	10	72.5
38	0	0	10	75.4
39	0	0	10	70.9
40	0	0	10	73.9
41	2048	0	30	69.9
42	2048	0	30	73.9
43	2048	0	30	73.7
44	2048	0	30	70.2
45	2048	0	30	73.8
46	0	0	10	68
47	0	0	10	74.1
48	0	0	10	70.4
49	0	0	10	75
50	0	0	10	78.3
51	4096	0	40	71.9
52	4096	0	40	70.4
53	4096	0	40	67.2
54	4096	0	40	78
55	4096	0	40	71.8
56	0	0	10	69.8
57	0	0	10	68.3
58	0	0	10	74.9
59	0	0	10	76
60	0	0	10	76.8
61	8192	0	40	72.2
62	8192	0	40	68.9
63	8192	0	40	77.2
64	8192	0	40	77.9
65	8192	0	40	74.2
66	0	0	10	74
67	0	0	10	68
68	0	0	10	79.5
69	0	0	10	76
70	0	0	10	76.5
71	16384	0.00822754	60	71.7
72	16384	0.00822754	60	78.3
73	16384	0.00822754	60	69.7
74	16384	0.00822754	60	73.2
75	16384	0.00822754	60	70.3
76	0	0	10	76.1
77	0	0	10	73.3
78	0	0	10	70.2
79	0	0	10	75.5
80	0	0	10	72.7
81	32768	0.492139	60	71.4
82	32768	0.492139	60	75.8
83	32768	0.492139	60	76.8
84	32768	0.492139	60	72.8
85	32768	0.492139	60	76.6
86	0	0	10	75.8
87	0	0	10	80.4
88	0	0	10	73.1
89	0	0	10	77.2
90	0	0	10	75.6

